cell_id,centroid_lat,centroid_lon,noise_night_count,peak_hour
2369,40.58207470320992,-74.10493833396043,45,23
104,40.54288182826986,-74.24556761109928,0,-1
292,40.54247211266466,-74.23536377399243,0,-1
198,40.542511035575316,-74.24126780717927,0,-1
293,40.54697618669842,-74.23531254961634,0,-1
199,40.5463052912115,-74.24090567383021,0,-1
294,40.55086903819786,-74.23458687315178,0,-1
386,40.542432888100514,-74.22945975237404,0,-1
480,40.542393361884564,-74.22355574241334,19,22
574,40.5423535340186,-74.21765174419967,16,23
481,40.54689742346688,-74.22350372718792,1,23
575,40.54685758930365,-74.21759933355405,132,23
387,40.54693695593239,-74.22940813257178,1,23
388,40.551438303668746,-74.229352871285,1,22
482,40.55140148147141,-74.2234517002125,1,0
576,40.55136164101008,-74.21754691106912,19,22
483,40.5547575598744,-74.22356657345172,0,-1
668,40.54231340450433,-74.21174775782225,15,23
856,40.54223224053799,-74.19993982093345,23,22
762,40.542272973343536,-74.20584378337043,11,22
669,40.54681745344444,-74.21169495175948,72,0
857,40.54673627664518,-74.19988622404547,58,22
763,40.546777015891024,-74.20579058189352,19,23
858,40.5512403091712,-74.19983261505031,52,22
670,40.55132149880511,-74.2116421337681,80,22
764,40.551281054858215,-74.20573736839872,0,-1
859,40.555744338115964,-74.19977899394483,45,22
577,40.55461168733585,-74.21713078389683,0,-1
389,40.55478162587385,-74.22873566715928,0,-1
671,40.55565463011963,-74.21137032394472,16,22
765,40.555785090245,-74.20568414288292,0,-1
860,40.560248363479374,-74.19972536072596,2,1
672,40.56018414276371,-74.21006669565034,0,-1
766,40.56028912205128,-74.2056309053431,0,-1
673,40.56455586829722,-74.20970012462827,0,-1
861,40.56475238526132,-74.19967171539064,0,-1
767,40.564793150276955,-74.20557765577614,0,-1
768,40.56926723502869,-74.20547397020792,0,-1
862,40.56925640346171,-74.19961805793572,0,-1
769,40.57370587110023,-74.20498605167302,0,-1
863,40.57376041808043,-74.19956438835813,0,-1
770,40.57819375460398,-74.20437495100377,0,-1
864,40.5782644291174,-74.1995107066548,0,-1
771,40.58259415636244,-74.20368164014465,0,-1
865,40.58276843657251,-74.1994570128226,0,-1
1232,40.54206629290442,-74.1763240931195,71,22
1326,40.5420240519023,-74.17042019209589,18,22
1420,40.54198150926637,-74.16451630362279,32,23
1233,40.54657030277351,-74.17626891461842,42,22
1421,40.5464855057303,-74.16446033433408,23,23
1327,40.54652805509265,-74.17036461819941,62,23
1328,40.55103205469748,-74.1703090317492,28,23
1422,40.550989498607834,-74.1644043524024,37,23
1234,40.55107430905795,-74.1762137236529,22,22
1329,40.5555360507167,-74.17025343274211,78,22
1044,40.542149869999875,-74.18813193246113,9,22
950,40.542191206089505,-74.19403587060062,18,0
1138,40.5421082322709,-74.18222800660435,24,22
951,40.54669523570868,-74.19398187830467,86,22
1045,40.54665389308336,-74.18807754476033,21,22
1139,40.54661224877102,-74.18217322350182,16,22
952,40.55119926174586,-74.19392787381221,99,23
1140,40.551116261687405,-74.1821184280242,22,23
1046,40.551157912583996,-74.18802314477372,85,22
953,40.55570328420091,-74.19387385712014,24,23
1517,40.55545062330603,-74.15844329555634,56,23
1705,40.555363988802924,-74.14663320932567,21,22
1612,40.559911429043204,-74.15248144748902,32,23
1518,40.55995460223364,-74.15838689267207,101,0
1706,40.55986795403386,-74.14657601513734,29,0
1613,40.56441539755782,-74.15242463611969,23,23
1707,40.56437191567537,-74.14651880802826,9,22
1519,40.56445857757366,-74.1583304770458,5,0
1614,40.56891936248383,-74.15236781191572,11,0
1708,40.56887587372737,-74.14646158799518,0,-1
1423,40.55549348789886,-74.16434835782451,74,22
1235,40.555578311757685,-74.1761585202198,68,22
1330,40.5600400431502,-74.17019782117491,39,22
1236,40.560082310872566,-74.17610330431597,33,22
1424,40.55999747360326,-74.16429235059715,31,0
1425,40.56450145572097,-74.16423633071715,0,-1
1331,40.56454403199788,-74.17014219704441,0,-1
1237,40.56458630640252,-74.17604807593818,15,6
1426,40.56900543425186,-74.16418029818125,0,-1
1332,40.56904801725964,-74.1700865603474,0,-1
1141,40.55562027101995,-74.1820636201683,57,22
1047,40.55566192850162,-74.18796873249819,12,0
954,40.56020730307373,-74.19381982822533,2,3
1142,40.56012427676851,-74.18200879993098,50,0
1048,40.56016594083617,-74.18791430793055,15,22
955,40.56471131836426,-74.19376578712469,1,1
1049,40.56466994958754,-74.1878598710677,6,22
1143,40.56462827893303,-74.18195396730907,50,0
956,40.569215330072346,-74.19371173381508,0,-1
